arabic_word,transliteration,english_translation,tunisian_dialect_variant,category,notes
السلام عليكم,as-salamu alaykum,Peace be upon you,Salam / Slema,greeting,Universal Islamic greeting
وعليكم السلام,wa alaykum as-salam,And upon you peace,W'alaykum salam,greeting,Response to the greeting
صباح الخير,sabah al-khayr,Good morning,Sbah el-kheir,greeting,Morning greeting
صباح النور,sabah an-nur,Morning of light (response),Sbah en-nour,greeting,Response to good morning
مساء الخير,masa al-khayr,Good evening,Msa el-kheir,greeting,Evening greeting
مساء النور,masa an-nur,Evening of light (response),Msa en-nour,greeting,Response to good evening
مرحبا,marhaba,Hello / Welcome,Marhba,greeting,Casual hello
أهلا وسهلا,ahlan wa sahlan,Welcome,Ahla w sahla,greeting,Warm welcome
كيف حالك,kayfa halak,How are you?,Chneya halak / Chneya amel,greeting,MSA vs Tunisian
بخير,bi-khayr,Fine / Good,Bekhir,greeting,Response to how are you
الحمد لله,al-hamdu lillah,Praise be to God / Thanks to God,El-hamdullah,expression,Used to mean I am fine / thankfully
ما شاء الله,ma sha Allah,What God has willed / Wonderful,Machallah,expression,Said to express admiration or ward off evil eye
إن شاء الله,in sha Allah,God willing,Inchallah,expression,Expresses hope or future intention
بسم الله,bismillah,In the name of God,Bismillah,expression,Said before starting any action
جزاك الله خيرا,jazak Allah khayran,May God reward you with goodness,Yaajik el-kheir,expression,Thanking someone
شكرا,shukran,Thank you,Yaaychek / Merci (French loan),expression,Formal thanks
عفوا,afwan,You're welcome / Excuse me,Maânich jdid,expression,Response to thank you
من فضلك,min fadlak,Please,Aamlili el-jmila / Aamlili sa'a,expression,Polite request
آسف / آسفة,asif / asifa,Sorry (m/f),Asif,expression,Apology
معليش,ma'alish,Never mind / It's okay,Maaleich,expression,Dismissing a problem
يسلمو,yislamu,Thank you / Bless your hands,Yislemu,expression,Tunisian specific thanks
بالسلامة,bi-ssalama,Go in peace / Goodbye,Bslema,farewell,Said when someone is leaving
مع السلامة,ma'a ssalama,With peace / Goodbye,M'a sslema,farewell,Said by the one staying
إلى اللقاء,ila al-liqa,Until we meet again,Lqaak,farewell,See you later
يلا باي,yalla bay,Okay bye,Yalla bay,farewell,Very Tunisian informal farewell
تبارك الله,tabarak Allah,Blessed be God,Tbarak Allah,expression,Said in admiration
لا إله إلا الله,la ilaha illa Allah,There is no god but God,La ilaha illallah,expression,Islamic declaration of faith
أب / بابا,ab / baba,Father,Baba,family,
أم / ماما,umm / mama,Mother,Mama / Ommi,family,
أخ,akh,Brother,Khoya (my brother),family,
أخت,ukht,Sister,Okhti (my sister),family,
جد,jadd,Grandfather,Jiddi / Sido,family,
جدة,jadda,Grandmother,Tata / Setteti,family,Setteti is common in Tunisia
عم,amm,Paternal uncle,Ammi,family,
عمة,amma,Paternal aunt,Amma,family,
خال,khal,Maternal uncle,Khali,family,
خالة,khala,Maternal aunt,Khalt,family,
ابن,ibn,Son,Wlid,family,Tunisian uses wlid
بنت,bint,Daughter,Bent,family,
زوج,zawj,Husband,Rajel,family,Tunisian uses rajel (man/husband)
زوجة,zawja,Wife,Mara,family,Tunisian uses mara
حفيد,hafid,Grandson,Hafid,family,
حفيدة,hafida,Granddaughter,Hafida,family,
ابن عم,ibn amm,Male cousin (paternal),Welid ammi,family,
ابنة عم,ibnat amm,Female cousin (paternal),Bent ammi,family,
حماة,hamah,Mother-in-law,Hmayti,family,
حمو,hamu,Father-in-law,Hmaya,family,
كنة,kinna,Daughter-in-law,Kenna,family,Tunisian term
نسيب,nasib,Brother-in-law,Nsib,family,
صاحب,sahib,Friend / companion,Sahbi (my friend),relationship,
صديق,sadiq,Friend,Sahbi,relationship,
حبيب,habib,Beloved / darling,Habibi / Habibti,relationship,
عريس,aris,Groom / fiancé,Aris,relationship,
عروسة,arousa,Bride / fiancée,Arousa,relationship,
